"id","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente"
2,0.9996582365003418,1.0,1.0,0.9868421052631579
3,0.9393939393939394,0.9687499994179234,0.9884223081102841,0.9384615384615385
4,0.9733424470266575,0.9999999981373513,0.9999999999995629,0.9605263157894737
5,0.9234449760765551,0.999999983235737,0.999999999990784,0.881578947368421
6,1.0,1.0,1.0,1.0
7,0.9649122807017544,0.9999389648401118,0.999998571199312,0.9473684210526316
8,0.9284627092846272,0.9998779220040885,0.9999961161138023,0.9166666666666666
9,0.9672316384180791,0.875,0.9144517851312512,0.9661016949152542
10,0.9996491228070176,1.0,1.0,0.9866666666666667
11,0.9765765765765766,0.9999980926513672,0.9999999903728167,0.9594594594594594
12,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,0.9905882352941177,0.99999999999977,1.0,0.94
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,0.9993506493506493,1.0,1.0,0.9818181818181818
20,0.9996582365003418,1.0,1.0,0.9868421052631579
21,0.9996582365003418,1.0,1.0,0.9868421052631579
22,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0
24,0.9963768115942029,0.9999998807906962,0.9999999998236719,0.9565217391304348
25,0.8407843137254902,0.7807617187354186,0.8713739655335001,0.86
26,0.9996396396396396,1.0,1.0,0.9864864864864865
27,0.999000999000999,1.0,1.0,0.974025974025974
28,0.9974774774774775,1.0,1.0,0.972972972972973
29,0.9189189189189189,0.9980468749416778,0.9997879471761812,0.863013698630137
30,0.9996194824961948,1.0,1.0,0.9861111111111112
31,0.8846153846153846,0.9684981684981685,0.9884116794208119,0.8333333333333334
32,0.9785964912280701,0.9999847412109375,0.9999998066328543,0.9733333333333334
33,0.7470175438596491,0.9999732365848217,0.9999997092626982,0.7333333333333334
34,1.0,1.0,1.0,1.0
35,0.998780487804878,0.9999999999990905,1.0,0.975
36,0.9996297667530544,1.0,1.0,0.9863013698630136
37,0.9398198198198198,0.992187499941778,0.9984331297888852,0.9189189189189189
38,1.0,1.0,1.0,1.0
39,0.9505541346973572,0.9999771118164062,0.9999997354970567,0.9411764705882353
40,0.8596273291925466,0.9999790135620401,0.9999997708346479,0.855072463768116
41,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
43,0.9565727699530516,0.9687499995343387,0.9884223081102921,0.9436619718309859
44,0.9993265993265993,1.0,1.0,0.9814814814814815
45,1.0,1.0,1.0,1.0
46,0.9470175438596491,0.9999999998817017,0.999999999999992,0.92
