"id","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente"
2,1.0,1.0,1.0,1.0
3,0.8014705882352942,0.7460440985732815,0.7668786774996252,0.75
4,0.9090909090909091,0.991695163654128,0.9984044049107642,0.8181818181818181
5,0.6993464052287581,0.9751813902388782,0.9940808867135178,0.5882352941176471
6,1.0,1.0,1.0,1.0
7,0.8444444444444444,0.9354207436399218,0.9683126071621122,0.7777777777777778
8,0.6928104575163399,0.9254068405673261,0.9663707670726963,0.6470588235294117
9,0.8571428571428572,0.4999084416773485,0.3678774867427307,0.8571428571428572
10,1.0,1.0,1.0,1.0
11,0.9044117647058824,0.968734264133669,0.988422113440286,0.875
12,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0
16,0.9487179487179487,0.9987789987789988,0.9999114320930589,0.8333333333333334
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,0.989010989010989,0.9998779147845196,0.9999961161082748,0.9230769230769231
20,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0
24,0.9523809523809523,0.9841269841269842,0.9957302214547179,0.8333333333333334
25,0.4871794871794872,0.12210012210012211,0.04952991993663147,0.5
26,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,0.9926470588235294,0.9999847409781033,0.9999998066328325,0.9375
29,0.6797385620915033,0.8697576122864707,0.9137845759315435,0.5294117647058824
30,0.9934640522875817,0.9999923705472606,0.9999999288641995,0.9411764705882353
31,0.5,0.5714285714285714,0.6652409557748218,0.33333333333333337
32,0.9,0.9333333333333333,0.967941396719915,0.75
33,0.4575163398692811,0.883109154580342,0.9517911177287887,0.4117647058823529
34,1.0,1.0,1.0,1.0
35,0.9818181818181818,0.9990224828934506,0.9999219865838722,0.9
36,0.9934640522875817,0.9999923705472606,0.9999999288641995,0.9411764705882353
37,0.7426470588235294,0.745464255741207,0.7668466210104977,0.6875
38,1.0,1.0,1.0,1.0
39,0.875,0.937422751201648,0.9685269448112108,0.8125
40,0.5588235294117647,0.8949416342412452,0.9550636202682404,0.5
41,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
43,0.8104575163398693,0.7460689244760473,0.766879148573517,0.7647058823529411
44,0.989010989010989,0.9998779147845196,0.9999961161082748,0.9230769230769231
45,1.0,1.0,1.0,1.0
46,0.8235294117647058,0.9936369878690776,0.9991826361504319,0.75
47,0.43137254901960786,0.27667447413996993,0.23867228183650935,0.4117647058823529
48,0.3856209150326797,0.4073212228486851,0.3297500426460842,0.3529411764705882
49,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0
51,0.8076923076923077,0.9870573870573871,0.997768129375388,0.6666666666666667
52,0.8476190476190476,0.7498016236342551,0.7674503360098119,0.7857142857142857
53,0.5606060606060606,0.6946751343429409,0.7500192118086908,0.5454545454545454
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
56,0.9120879120879121,0.9920644609937737,0.9984292423555121,0.8461538461538461
57,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0
60,0.9934640522875817,0.9999923705472606,0.9999999288641995,0.9411764705882353
61,1.0,1.0,1.0,1.0
62,0.8496732026143791,0.9974746511432735,0.9997575556335437,0.7058823529411764
