CustomerID,WeekID,sumProfit,numberOfUniqueItems,timeSinceLastPurchase,timeSinceFirstPurchase,cumSumPurchases,numberOfOrders,meanOrderProfit
1.0,0,29.33,1.0,0.0,0.0,29.33,1.0,29.33
1.0,1,0.0,0.0,10001.0,10001.0,29.33,1.0,29.33
1.0,2,29.73,1.0,0.0,2.0,59.06,2.0,29.53
1.0,3,0.0,0.0,10003.0,10003.0,59.06,2.0,29.53
1.0,4,0.0,0.0,10004.0,10004.0,59.06,2.0,29.53
1.0,5,0.0,0.0,10005.0,10005.0,59.06,2.0,29.53
1.0,6,0.0,0.0,10006.0,10006.0,59.06,2.0,29.53
1.0,7,0.0,0.0,10007.0,10007.0,59.06,2.0,29.53
1.0,8,0.0,0.0,10008.0,10008.0,59.06,2.0,29.53
1.0,9,0.0,0.0,10009.0,10009.0,59.06,2.0,29.53
1.0,10,0.0,0.0,10010.0,10010.0,59.06,2.0,29.53
1.0,11,0.0,0.0,10011.0,10011.0,59.06,2.0,29.53
1.0,12,0.0,0.0,10012.0,10012.0,59.06,2.0,29.53
1.0,13,0.0,0.0,10013.0,10013.0,59.06,2.0,29.53
1.0,14,0.0,0.0,10014.0,10014.0,59.06,2.0,29.53
1.0,15,0.0,0.0,10015.0,10015.0,59.06,2.0,29.53
1.0,16,0.0,0.0,10016.0,10016.0,59.06,2.0,29.53
1.0,17,0.0,0.0,10017.0,10017.0,59.06,2.0,29.53
1.0,18,0.0,0.0,10018.0,10018.0,59.06,2.0,29.53
1.0,19,0.0,0.0,10019.0,10019.0,59.06,2.0,29.53
1.0,20,0.0,0.0,10020.0,10020.0,59.06,2.0,29.53
1.0,21,0.0,0.0,10021.0,10021.0,59.06,2.0,29.53
1.0,22,0.0,0.0,10022.0,10022.0,59.06,2.0,29.53
1.0,23,0.0,0.0,10023.0,10023.0,59.06,2.0,29.53
1.0,24,0.0,0.0,10024.0,10024.0,59.06,2.0,29.53
1.0,25,0.0,0.0,10025.0,10025.0,59.06,2.0,29.53
1.0,26,0.0,0.0,10026.0,10026.0,59.06,2.0,29.53
1.0,27,0.0,0.0,10027.0,10027.0,59.06,2.0,29.53
1.0,28,0.0,0.0,10028.0,10028.0,59.06,2.0,29.53
1.0,29,0.0,0.0,10029.0,10029.0,59.06,2.0,29.53
1.0,30,14.96,1.0,0.0,30.0,74.02,3.0,24.673333333333332
1.0,31,0.0,0.0,10031.0,10031.0,74.02,3.0,24.673333333333332
1.0,32,0.0,0.0,10032.0,10032.0,74.02,3.0,24.673333333333332
1.0,33,0.0,0.0,10033.0,10033.0,74.02,3.0,24.673333333333332
1.0,34,0.0,0.0,10034.0,10034.0,74.02,3.0,24.673333333333332
1.0,35,0.0,0.0,10035.0,10035.0,74.02,3.0,24.673333333333332
1.0,36,0.0,0.0,10036.0,10036.0,74.02,3.0,24.673333333333332
1.0,37,0.0,0.0,10037.0,10037.0,74.02,3.0,24.673333333333332
1.0,38,0.0,0.0,10038.0,10038.0,74.02,3.0,24.673333333333332
1.0,39,0.0,0.0,10039.0,10039.0,74.02,3.0,24.673333333333332
1.0,40,0.0,0.0,10040.0,10040.0,74.02,3.0,24.673333333333332
1.0,41,0.0,0.0,10041.0,10041.0,74.02,3.0,24.673333333333332
1.0,42,0.0,0.0,10042.0,10042.0,74.02,3.0,24.673333333333332
1.0,43,0.0,0.0,10043.0,10043.0,74.02,3.0,24.673333333333332
1.0,44,0.0,0.0,10044.0,10044.0,74.02,3.0,24.673333333333332
1.0,45,0.0,0.0,10045.0,10045.0,74.02,3.0,24.673333333333332
1.0,46,0.0,0.0,10046.0,10046.0,74.02,3.0,24.673333333333332
1.0,47,0.0,0.0,10047.0,10047.0,74.02,3.0,24.673333333333332
1.0,48,0.0,0.0,10048.0,10048.0,74.02,3.0,24.673333333333332
1.0,49,26.48,1.0,0.0,49.0,100.5,4.0,25.125
1.0,50,0.0,0.0,10050.0,10050.0,100.5,4.0,25.125
1.0,51,0.0,0.0,10051.0,10051.0,100.5,4.0,25.125
1.0,52,0.0,0.0,10052.0,10052.0,100.5,4.0,25.125
1.0,53,0.0,0.0,10053.0,10053.0,100.5,4.0,25.125
1.0,54,0.0,0.0,10054.0,10054.0,100.5,4.0,25.125
1.0,55,0.0,0.0,10055.0,10055.0,100.5,4.0,25.125
1.0,56,0.0,0.0,10056.0,10056.0,100.5,4.0,25.125
1.0,57,0.0,0.0,10057.0,10057.0,100.5,4.0,25.125
1.0,58,0.0,0.0,10058.0,10058.0,100.5,4.0,25.125
