,True 20,True 21,True 22,True 23,True 24,True 25,True 26,True 27,True 28,True 29,True 30,True 31,True 32,True 33,True 34,True 35,True 36,True 37,True 38,True 39,True 40,True 41,True 42,True 43,True 44,True 45,True 46,True 47,True 48,True 49,True 50,True 51,True 52,True 53,True 54,True 55,True 56,True 57,True 58,True 59,True 60,True 61,True 62,True 63,True 64,True 65,True 66,True 67,True 68,True 69,True 70,True 71,True 72,True 73,True 74,True 75
0,29.53,29.53,29.53,29.53,29.53,29.53,29.53,29.53,29.53,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,24.67333333333333,25.125,25.125,25.125,25.125,25.125,25.125,25.125,25.125,25.125,25.125,25.125,25.125,25.125,25.125,24.25862068965517,23.45,22.693548387096776,21.984375,21.318181818181817,20.691176470588236,20.1,19.541666666666668,19.013513513513512,18.513157894736842,18.03846153846154,17.5875,17.158536585365855,16.75
1,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,32.91,19.889999999999997,19.889999999999997,19.20413793103448,18.564,17.96516129032258,17.40375,16.876363636363635,16.38,15.911999999999999,15.469999999999999,15.051891891891891,14.655789473684209,14.28,13.922999999999998,13.58341463414634,13.26
2,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.244999999999997,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,22.48666666666666,23.987499999999994,24.985999999999997,24.985999999999997,24.985999999999997,24.985999999999997,24.985999999999997,24.124413793103447,23.320266666666665,22.567999999999998,21.86275,21.200242424242422,20.57670588235294,19.988799999999998,19.433555555555554,18.908324324324322,18.410736842105262,17.938666666666666,17.490199999999998,17.06360975609756,16.657333333333334
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.473103448275863,13.990666666666668,13.539354838709679,13.11625,12.718787878787879,12.344705882352942,11.992,11.658888888888889,11.343783783783785,11.045263157894738,10.762051282051283,10.493,10.237073170731708,9.993333333333334
4,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,15.36,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,16.174999999999997,15.617241379310341,15.096666666666664,14.609677419354837,14.153124999999998,13.724242424242421,13.320588235294116,12.939999999999998,12.580555555555554,12.240540540540538,11.918421052631578,11.61282051282051,11.322499999999998,11.046341463414633,10.783333333333331
5,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.522758620689656,12.105333333333334,11.71483870967742,20.728749999999998,20.100606060606058,19.50941176470588,18.951999999999998,18.425555555555555,17.927567567567564,17.45578947368421,17.008205128205127,16.583,16.17853658536585,15.793333333333331
6,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.565,13.097241379310345,12.660666666666666,12.252258064516129,11.869375,15.11151515151515,14.66705882352941,14.248,13.85222222222222,13.477837837837836,13.12315789473684,12.786666666666665,12.466999999999999,12.162926829268292,11.873333333333331
7,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,44.71,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,21.396666666666665,24.422758620689656,23.608666666666668,22.84709677419355,22.133125,21.46242424242424,20.831176470588236,20.236,19.67388888888889,19.142162162162162,18.63842105263158,18.16051282051282,17.7065,17.274634146341462,16.863333333333333
8,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,35.235,34.019999999999996,30.93688888888889,29.938924731182798,29.003333333333334,28.124444444444446,27.297254901960784,26.517333333333333,25.78074074074074,25.083963963963964,24.423859649122807,23.79760683760684,23.202666666666666,22.636747967479675,22.09777777777778
9,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,35.985,34.74413793103448,33.586,32.50258064516129,31.486874999999998,30.53272727272727,29.63470588235294,28.787999999999997,27.98833333333333,27.23189189189189,26.515263157894736,25.835384615384612,25.1895,24.57512195121951,23.99
