,True 300,True 301,True 302,True 303,True 304,True 305,True 306,True 307,True 308,True 309,True 310,True 311
0,1949.6638418079096,1949.6638418079096,1949.6638418079096,1942.0122905027933,1942.0122905027933,1943.697237569061,1943.697237569061,1947.4912568306013,1950.2331521739131,1959.577837837838,1959.577837837838,1949.3252688172042
1,2355.4950354609928,2355.4950354609928,2355.4950354609928,2339.855633802817,2360.3506944444443,2352.9344827586206,2352.9344827586206,2325.9843537414968,2324.308783783784,2338.904666666667,2338.904666666667,2324.3139072847684
2,3317.2535135135136,3317.2535135135136,3317.2535135135136,3300.4403225806454,3321.834574468085,3321.834574468085,3321.834574468085,3305.296296296296,3305.296296296296,3326.303664921466,3326.303664921466,3295.1663212435233
3,3467.2654676258994,3467.2654676258994,3467.2654676258994,3467.8127659574466,3461.7859154929574,3461.7859154929574,3461.7859154929574,3439.466433566434,3482.655479452055,3482.655479452055,3488.351700680272,3466.7709459459456
4,1333.2496031746032,1331.1418972332017,1339.287007874016,1332.1734375,1332.1734375,1334.7719844357978,1334.7719844357978,1340.672972972973,1340.672972972973,1337.6793103448276,1337.6793103448276,1332.937786259542
5,3733.125925925926,3733.125925925926,3733.125925925926,3691.232926829268,3731.4951807228913,3731.4951807228913,3731.4951807228913,3690.9623529411765,3690.9623529411765,3729.8232558139534,3700.509090909091,3661.9089887640453
6,1788.4772058823528,1788.4772058823528,1795.1306569343064,1782.894927536232,1795.205035971223,1797.6107142857143,1797.6107142857143,1785.6000000000001,1777.2507042253521,1791.6361111111112,1791.6361111111112,1779.9303448275862
7,1976.4619469026547,2001.2298245614036,2001.2298245614036,1997.8698275862068,1997.8698275862068,2003.8709401709402,2002.9906779661017,1986.8478991596637,1986.8478991596637,2025.2908333333332,2025.2908333333332,2009.1181818181817
8,2392.6033333333335,2392.6033333333335,2392.6033333333335,2354.783606557377,2326.4806451612903,2369.0444444444443,2369.0444444444443,2302.5876923076926,2302.5876923076926,2343.5787878787883,2343.5787878787883,2309.673134328358
9,3601.846405228758,3601.846405228758,3601.846405228758,3579.1967532467534,3597.0858064516133,3597.0858064516133,3597.0858064516133,3574.7596153846152,3592.4490445859874,3592.4490445859874,3592.4490445859874,3557.4559748427673
