"","id","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente","Media_Intervalos"
0,2378,0.290556848386288,0.9915256193493405,0.9909244418371944,0.2894736842105263,2.0
1,576,0.3986774176277673,0.9972028952607918,0.9984027914968967,0.39473684210526316,2.0
2,704,0.2595679495198233,0.9970932664326391,0.9983667054373563,0.2565789473684211,2.0
3,3818,0.30010853557382294,0.9972028920763124,0.9984027914905745,0.29605263157894735,2.0
4,1972,0.37196388787935536,0.9989576857154431,0.9995494391644123,0.3684210526315789,2.0
5,2632,0.28391236277191795,0.9972024965981497,0.9984027845914646,0.27960526315789475,2.0
6,1539,0.3191520262814977,0.9989632077081216,0.9995497970381306,0.3157894736842105,2.0
7,2484,0.21019154563392867,0.9970927644862467,0.9983666975852202,0.20723684210526316,2.0
8,1695,0.30673077099794294,0.9973129790020727,0.9984238049848102,0.3026315789473684,2.0
9,793,0.3289553055952652,0.9989575790605189,0.9995494382112725,0.3256578947368421,2.0
10,1726,0.22705977299515337,0.9970928648302257,0.9983666985212029,0.2236842105263158,2.0
11,485,0.22130623103184469,0.9884168039628358,0.9879589254184149,0.22039473684210525,2.0
12,2177,0.4575208747403887,0.9989577363040747,0.999549439509061,0.45394736842105265,2.0
13,2357,0.34543559332599366,0.997093266432738,0.9983667054373563,0.34210526315789475,2.0
14,2881,0.272896339559802,0.9970864385570269,0.9983663209106225,0.26973684210526316,2.0
15,9635,0.3948926904238246,0.9970932164612203,0.9983667048458142,0.39144736842105265,2.0
16,652,0.31005585713282235,0.9972024903760552,0.9984027845743373,0.3059210526315789,2.0
17,1844,0.4211924364977625,0.9989576794443092,0.9995494391472695,0.41776315789473684,2.0
18,1926,0.26679410034465395,0.9969832393797454,0.9983456972788604,0.2631578947368421,2.0
19,3510,0.3451512288749497,0.9954489142083908,0.9964325599793394,0.34210526315789475,2.0
20,1276,0.24754794714657413,0.9972032934763451,0.9984028033743474,0.24342105263157895,2.0
21,2393,0.24675493254282865,0.9969831389957546,0.9983456963428633,0.24342105263157895,2.0
