"id","churnLinear","churnExponencial_2","churnExponencial_e","churnRecente","resultado"
2378,0.3632996685392384,0.4474566582980072,0.351348109681277,0.3463687150837988,0
576,0.4478299435116166,0.4193472045129857,0.3319063615078894,0.4525139664804469,0
704,0.3191360234045532,0.3870967741934343,0.3202502016890053,0.3072625698324022,0
3818,0.3861284449354975,0.4193538542716732,0.3319064290793768,0.3659217877094972,0
1972,0.4277711208975895,0.3870987354443527,0.3202502113782556,0.4301675977653632,0
2632,0.344143415135152,0.3870967705283412,0.3202502016878201,0.3184357541899442,0
1539,0.3294688847045641,0.1389830764456974,0.0879155798728359,0.3407821229050279,0
2484,0.2444250789748059,0.262096766742964,0.234701986817027,0.2290502793296089,0
1695,0.2981279469662782,0.439892185970461,0.3497918232442901,0.3268156424581006,0
793,0.3541961687493191,0.3870967741935484,0.3202502016890053,0.3491620111731843,0
1726,0.2731361167737819,0.3870966549841448,0.3202502015126772,0.2569832402234636,0
485,0.2973498700611569,0.1273865159640854,0.0857761743833463,0.2905027932960894,0
2177,0.5066681190768896,0.4516129032239873,0.3519351224851296,0.494413407821229,0
2357,0.3856304757162198,0.4183467704682578,0.331827893577466,0.3798882681564246,0
2881,0.3048505314265262,0.3792728226511705,0.318683234169469,0.3044692737430168,0
9635,0.4225113210189695,0.2855657722506182,0.2447133376896503,0.4385474860335195,0
652,0.3431163536203918,0.3870967702354843,0.3202502016877955,0.3463687150837988,0
1844,0.471545727579714,0.3831905819956331,0.3196737824154727,0.4776536312849162,0
1926,0.2935528547641649,0.3870966549842588,0.3202502015126772,0.2988826815642458,0
3510,0.3651203684972223,0.3869688809029521,0.3202462561405327,0.4078212290502793,0
1276,0.281212555048941,0.3870929592632247,0.3202501755195861,0.3016759776536313,0
2393,0.3278349232038094,0.2620965320496786,0.2347019863397592,0.3379888268156424,0
435,0.4964712141839976,0.4494156375935302,0.3517125121728767,0.5182072829131652,0
192,0.448351407602147,0.2640515643983703,0.2349140487907584,0.4789915966386554,0
2122,0.3504530303741608,0.3751603787944875,0.3180968536535218,0.3529411764705882,0
1637,0.3666494530773203,0.4183467704682577,0.3318278935774659,0.3725490196078431,0
2087,0.4364427335179882,0.1575137463232865,0.097215100774136,0.4565826330532213,0
764,0.4286653208769541,0.3870967704682578,0.3202502016878172,0.4789915966386554,0
3592,0.4463796691861101,0.4193548386796356,0.3319064326450438,0.4481792717086834,0
